timestamp_hour,organization__id,organization__name,organization__email_domain,organization__tier,organization__billing_model,organization__cloud_provider,organization__region,organization__country,organization__dollar_usage,organization__MRR,organization__MRR_PAYG,organization__MRR_Committed,organization__query_count,organization__error_count
2026-04-02 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1239.55,41000.0,6150.0,34850.0,818040,688
2026-04-03 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1362.2,41000.0,6150.0,34850.0,1013357,2545
2026-04-04 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1354.71,41000.0,6150.0,34850.0,452351,323
2026-04-05 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1457.36,41000.0,6150.0,34850.0,490151,1046
2026-04-06 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1347.9,41000.0,6150.0,34850.0,924518,2709
2026-04-07 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1382.58,41000.0,6150.0,34850.0,712602,2341
2026-04-08 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1490.33,41000.0,6150.0,34850.0,763802,1235
2026-04-09 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1455.34,41000.0,6150.0,34850.0,902493,1958
2026-04-10 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1480.43,41000.0,6150.0,34850.0,971337,1848
2026-04-11 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1301.21,41000.0,6150.0,34850.0,574171,1872
2026-04-12 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1334.7,41000.0,6150.0,34850.0,660061,2243
2026-04-13 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1429.81,41000.0,6150.0,34850.0,751289,1969
2026-04-14 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1276.46,41000.0,6150.0,34850.0,1090228,1574
2026-04-15 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1251.38,41000.0,6150.0,34850.0,948570,1467
2026-04-16 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1298.73,41000.0,6150.0,34850.0,888192,743
2026-04-17 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1247.73,41000.0,6150.0,34850.0,1051052,3830
2026-04-18 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1267.18,41000.0,6150.0,34850.0,667164,835
2026-04-19 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1489.46,41000.0,6150.0,34850.0,630729,1392
2026-04-20 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1481.97,41000.0,6150.0,34850.0,988284,1900
2026-04-21 00:00:00,a89547ec-db48-4fcd-ba2d-a11cc2e032df,Stewart-Johnson,stewart-johnso.example,Enterprise,Committed,aws,us-east-1,United States,1373.92,41000.0,6150.0,34850.0,1018607,1336
